OBJECTID,parcel_py_PARCEL,parcel_py_PARCEL_NBR,parcel_py_ACRE,LAndBAnkTop100CSVUpdate_csv_PAR,LAndBAnkTop100CSVUpdate_csv_ACR,LAndBAnkTop100CSVUpdate_csv_OWN,LAndBAnkTop100CSVUpdate_csv_Add,LAndBAnkTop100CSVUpdate_csv_NUM,LAndBAnkTop100CSVUpdate_csv_DIR,LAndBAnkTop100CSVUpdate_csv_ST_,LAndBAnkTop100CSVUpdate_csv_SUF,LAndBAnkTop100CSVUpdate_csv_MIS,LAndBAnkTop100CSVUpdate_csv_CIT,LAndBAnkTop100CSVUpdate_csv_STA,LAndBAnkTop100CSVUpdate_csv_ZIP,LAndBAnkTop100CSVUpdate_csv_DEL,LAndBAnkTop100CSVUpdate_csv_VAC,LAndBAnkTop100CSVUpdate_csv_LAN,LAndBAnkTop100CSVUpdate_csv_ORI,LAndBAnkTop100CSVUpdate_csv_Sub,LAndBAnkTop100CSVUpdate_csv_Tax,LAndBAnkTop100CSVUpdate_csv_Sch,LAndBAnkTop100CSVUpdate_csv_UGD,LAndBAnkTop100CSVUpdate_csv_UGA,LAndBAnkTop100CSVUpdate_csv_Pla,LAndBAnkTop100CSVUpdate_csv_Map,LAndBAnkTop100CSVUpdate_csv_Use,LAndBAnkTop100CSVUpdate_csv_App,LAndBAnkTop100CSVUpdate_csv_A_1,LAndBAnkTop100CSVUpdate_csv_Rem,LAndBAnkTop100CSVUpdate_csv_R_1,LAndBAnkTop100CSVUpdate_csv_Unb,LAndBAnkTop100CSVUpdate_csv_R_2,LAndBAnkTop100CSVUpdate_csv_Bui,LAndBAnkTop100CSVUpdate_csv_Hom,LAndBAnkTop100CSVUpdate_csv_Res,LAndBAnkTop100CSVUpdate_csv_Sum,LAndBAnkTop100CSVUpdate_csv_Mea,LAndBAnkTop100CSVUpdate_csv_R_3,LAndBAnkTop100CSVUpdate_csv_B_1,LAndBAnkTop100CSVUpdate_csv_H_1,LAndBAnkTop100CSVUpdate_csv_S_1,LAndBAnkTop100CSVUpdate_csv_M_1,LAndBAnkTop100CSVUpdate_csv_Lot,LAndBAnkTop100CSVUpdate_csv_Ran,LAndBAnkTop100CSVUpdate_csv_R_4,LAndBAnkTop100CSVUpdate_csv_P_1,LAndBAnkTop100CSVUpdate_csv_Dem,LAndBAnkTop100CSVUpdate_csv_Und,LAndBAnkTop100CSVUpdate_csv_Flo,LAndBAnkTop100CSVUpdate_csv_His,LAndBAnkTop100CSVUpdate_csv_Soi,Shape__Area,Shape__Length
1075,913113,913113,0.152609754033664,913113,0.15261,WYANDOTTE COUNTY LANDBANK,2208 N 34TH ST ,2208,N,34TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R5111,<Null>,10,500,1,1,47,6647.681,Residential highest and best use,270,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,57,1473500,25850.87719,0.576,0,0,0.642,0.608,0.30025,938,,913113,2001,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6647.68084716797,380.985494558413
1076,111856,111856,0.112969191785713,111856,0.112969,WYANDOTTE COUNTY LANDBANK,706  ROWLAND AVE ,706,,ROWLAND,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R1659,SILVER PLACE,10,500,1,1,37.5,4920.938,Residential highest and best use,250,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,70,499860,7140.857143,0.576,0,0,0.299,0.172,0.202875,1410,,111856,1996,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4920.93804931641,327.147160738512
1077,115542,115542,0.219980989186798,115542,0.219981,WYANDOTTE COUNTY LANDBANK,3002  CISSNA ST ,3002,,CISSNA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6196,CISSNA PLACE,10,500,1,1,75,9582.372,Residential highest and best use,300,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,47,343980,7318.723404,0,0,0,0.196,0.179,0.046875,2112,,115542,2002,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",9582.37188720703,407.264822862198
1078,158263,158263,0.0727119164369809,158263,0.072712,WYANDOTTE COUNTY LANDBANK,2512  CISSNA ST ,2512,,CISSNA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R8104,LONGWOOD,10,500,1,1,25,3167.331,Residential highest and best use,220,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,76,1698440,22347.89474,0,0,0,0.71,0.55,0.1575,1618,,158263,1998,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",3167.33111572266,287.445661844328
1079,093723,93723,0.114322383103363,93723,0.114322,WYANDOTTE COUNTY LANDBANK,1113  TENNY AVE ,1113,,TENNY,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R48484,BELLE VIEW ADD,10,500,2,2,45.8,4979.883,Residential highest and best use,820,0,LBHD,31,<Null>,2,<Null>,<Null>,28,1060900,37889.28571,0.576,0,0,0.515,0.783,0.30625,922,,93723,1999,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4979.88305664063,325.36939065836
1080,158536,158536,0.143259286799079,158536,0.143259,WYANDOTTE COUNTY LANDBANK,3043  HUTCHINGS ST ,3043,,HUTCHINGS,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6241,ELMGROVE PLACE,10,500,1,1,50,6240.375,Residential highest and best use,270,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,32,300120,9378.75,0,0,0,0.168,0.256,0.053,2077,,158536,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6240.37451171875,351.052323674553
1081,115241,115241,0.119908034933456,115241,0.119908,WYANDOTTE COUNTY LANDBANK,1334  ROSWELL AVE ,1334,,ROSWELL,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6300,MARIE PLACE,10,500,1,1,66.66,5223.194,Residential highest and best use,260,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,50,299570,5991.4,0,0,0,0.167,0.117,0.0355,2164,,115241,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5223.19403076172,329.022881057621
1082,115255,115255,0.197258873625784,115255,0.197259,WYANDOTTE COUNTY LANDBANK,1357  ROSWELL AVE ,1357,,ROSWELL,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6449,MARIE PLACE,10,500,1,1,75,8592.597,Residential highest and best use,290,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,47,277450,5903.191489,0,0,0,0.155,0.111,0.03325,2175,,115255,2012,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",8592.59649658203,378.977578686013
1083,115251,115251,0.0680230926571471,115251,0.068023,WYANDOTTE COUNTY LANDBANK,1343  ROSWELL AVE ,1343,,ROSWELL,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6445,MARIE PLACE,10,500,1,1,27.5,2963.086,Residential highest and best use,210,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,47,174320,3708.93617,0,0,0,0.069,0.031,0.0125,2296,,115251,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",2963.0859375,280.805240819181
1084,115270,115270,0.0748430202328145,115270,0.074843,WYANDOTTE COUNTY LANDBANK,2926 N 13TH ST ,2926,N,13TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6466,MARIE PLACE,10,500,1,1,31.5,3260.162,Residential highest and best use,220,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,56,432460,7722.5,0,0,0,0.266,0.198,0.058,2054,,115270,2002,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",3260.16192626953,287.078211124361
1085,131401,131401,0.035971906241399,131401,0.035972,WYANDOTTE COUNTY LANDBANK,2806 N HALLOCK ST ,2806,N,HALLOCK,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R486,SYLVAN PARK,300,500,1,1,25,1566.936,Residential highest and best use,90,0,LBHD,5,<Null>,0,<Null>,<Null>,12,196870,16405.83333,0,0,0,0.083,0.427,0.06375,2027,,131401,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",1566.93627929688,179.202972364131
1086,163439,163439,0.124011835123796,163439,0.124012,WYANDOTTE COUNTY LANDBANK,2914 N 26TH ST ,2914,N,26TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R7093,KENWOOD,10,500,4,1,40,5401.956,Residential highest and best use,260,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,100,2347220,23472.2,0.317,0,0,0.852,0.573,0.257375,1137,,163439,2005,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",5401.95550537109,348.709805700592
1087,090907,90907,0.0940907112381754,90907,0.094091,WYANDOTTE COUNTY LANDBANK,1621  FREEMAN AVE ,1621,,FREEMAN,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R44831,HOWELL HEIGHTS ANNEX,10,500,4,1,35,4098.591,Residential highest and best use,230,0,<Null>,<Null>,<Null>,4,<Null>,1,78,1542980,19781.79487,0.866,0,0.866,0.666,0.488,0.57725,158,,90907,0,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4098.59136962891,304.034127319332
1088,106702,106702,0.868319277045643,106702,0.868319,WYANDOTTE COUNTY LANDBANK,3115 N 13TH ST ,3115,N,13TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R3215,NELSON PARK ADD,10,500,1,1,160,37823.988,Residential highest and best use,290,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,4,1240,310,0,0,0,0.002,0.001,0.000375,2380,,106702,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",37823.9877929688,793.078198077787
1089,106631,106631,0.206269918372866,106631,0.20627,WYANDOTTE COUNTY LANDBANK,3030 N BETHANY ST ,3030,N,BETHANY,ST,,KANSAS CITY,KS,66104,Y,Y,<Null>,R515,BOULEVARD PARK,10,500,1,1,75,8985.118,Residential highest and best use,150,0,<Null>,<Null>,<Null>,0,<Null>,1,53,404980,7641.132075,0,0,0.866,0.245,0.193,0.27125,1072,,106631,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",8985.11767578125,390.310673113019
1090,140417,140417,0.0749027212990875,140417,0.074903,WYANDOTTE COUNTY LANDBANK,1953 N HALLOCK ST ,1953,N,HALLOCK,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R43097,GLENWOOD GROVE,10,500,1,1,25,3262.763,Residential highest and best use,220,0,<Null>,<Null>,<Null>,3,1,<Null>,54,353120,6539.259259,0.76,0.949,0,0.204,0.143,0.470625,265,,140417,2010,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3262.76251220703,298.814315338823
1091,115265,115265,0.126836393950618,115265,0.126836,WYANDOTTE COUNTY LANDBANK,1330  WEBSTER AVE ,1330,,WEBSTER,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6462,MARIE PLACE,10,500,1,1,50,5524.993,Residential highest and best use,260,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,55,530810,9651.090909,0,0,0,0.314,0.26,0.07175,1996,,115265,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5524.99334716797,324.093961110193
1092,094234,94234,0.0894499248944235,94234,0.08945,WYANDOTTE COUNTY LANDBANK,333  CLEVELAND AVE ,333,,CLEVELAND,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2547,PASFIELD PLACE,10,500,1,1,50,3896.439,Residential highest and best use,230,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,43,231360,5380.465116,0,0,0,0.111,0.09,0.025125,2211,,94234,2001,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3896.43878173828,254.525656044821
1093,080304,80304,0.0764228301896077,80304,0.076423,WYANDOTTE COUNTY LANDBANK,922  OAKLAND AVE ,922,,OAKLAND,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R45423,WYANDOTTE CITY,10,500,4,1,25,3328.978,Residential highest and best use,220,0,LBHD,10,<Null>,1,<Null>,<Null>,39,168690,4325.384615,0.317,0,0,0.06,0.045,0.092375,1940,,80304,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3328.97857666016,314.217790233982
1094,292411,292411,0.201576274754907,292411,0.201576,WYANDOTTE COUNTY LANDBANK,2605 N HALLOCK ST ,2605,N,HALLOCK,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2444,PEREGRINE FALCON FIRST PLAT,300,500,1,1,71.04,8780.663,Residential highest and best use,2190,0,LBHD,0,<Null>,0,<Null>,<Null>,20,853700,42685,0,0,0,0.434,0.824,0.15725,1622,,292411,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",8780.66259765625,390.422203209357
1095,094303,94303,0.109829900083654,94303,0.10983,WYANDOTTE COUNTY LANDBANK,359  ROWLAND AVE ,359,,ROWLAND,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2486,MOUNT PLEASANT,10,500,1,1,41.8,4784.19,Residential highest and best use,250,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,47,260810,5549.148936,0.317,0,0,0.141,0.099,0.10925,1868,,94303,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4784.1904296875,325.385419243121
1096,114530,114530,0.111104378353715,114530,0.111104,WYANDOTTE COUNTY LANDBANK,2904 N 12TH ST ,2904,N,12TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6522,BOULEVARD HEIGHTS,10,500,1,1,37.5,4839.707,Residential highest and best use,250,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,62,870750,14044.35484,0.317,0,0,0.442,0.371,0.180875,1523,,114530,2000,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4839.70666503906,330.296276121234
1097,111216,111216,0.0922426481854454,111216,0.092243,WYANDOTTE COUNTY LANDBANK,2056 N 7TH ST ,2056,N,7TH,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2233,ELIZABETH,10,500,1,1,40,4018.09,Residential highest and best use,230,0,<Null>,<Null>,<Null>,4,<Null>,1,84,1269180,15109.28571,0.866,0,0.866,0.583,0.395,0.55525,173,,111216,0,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4018.08972167969,291.811204386965
1098,157063,157063,0.145285222486171,157063,0.145285,WYANDOTTE COUNTY LANDBANK,1115  ROWLAND AVE ,1115,,ROWLAND,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R1049,WESTERN HIGHLANDS 1ST ADD,10,500,1,1,49,6328.624,Residential highest and best use,270,0,<Null>,<Null>,<Null>,6,<Null>,<Null>,100,1979840,19798.4,0.974,0,0,0.782,0.489,0.402375,463,,157063,1998,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6328.62426757813,351.896031109815
1099,127229,127229,0.178564593158224,127229,0.178565,WYANDOTTE COUNTY LANDBANK,1608 S BOEKE ST ,1608,S,BOEKE,ST,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R63424,SCHOONMAKERS 1ST ADD,10,500,3,2,90,7778.274,Residential highest and best use,520,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,23,719170,31268.26087,0.317,0,0,0.39,0.696,0.215,1338,,127229,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",7778.27368164063,387.679130278482
1100,111238,111238,0.142743195584665,111238,0.142743,WYANDOTTE COUNTY LANDBANK,712  PARALLEL AVE ,712,,PARALLEL,AVE,,KANSAS CITY,KS,66101,Y,Y,<Null>,R2252,ELIZABETH,10,500,1,1,50,6217.894,Residential highest and best use,270,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,82,1334320,16272.19512,0.576,0,0,0.603,0.424,0.272375,1063,,111238,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6217.89367675781,346.46320210189
1101,111409,111409,0.135893918931286,111409,0.135894,WYANDOTTE COUNTY LANDBANK,2107 N TREMONT ST ,2107,N,TREMONT,ST,,KANSAS CITY,KS,66101,Y,Y,<Null>,R2109,FLORENCE PLACE,10,500,1,1,50,5919.539,Residential highest and best use,260,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,66,1064230,16124.69697,0.76,0,0,0.517,0.424,0.307625,916,,111409,2005,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5919.53912353516,338.443139355667
1102,098900,98900,0.153017184426452,98900,0.153017,WYANDOTTE COUNTY LANDBANK,1936 N VALLEY ST ,1936,N,VALLEY,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R44283,ASHLEY PLACE,10,500,4,1,50,6665.429,Residential highest and best use,270,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,56,1282560,22902.85714,0.317,0,0,0.588,0.561,0.222875,1303,,98900,<Null>,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",6665.42852783203,349.022648901054
1103,098738,98738,0.0969916067992723,98738,0.096992,WYANDOTTE COUNTY LANDBANK,1608  FREEMAN AVE ,1608,,FREEMAN,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R44738,HOWELL HEIGHTS,10,500,4,1,33.34,4224.954,Residential highest and best use,240,0,<Null>,<Null>,<Null>,5,<Null>,1,79,1494110,18912.78481,0.939,0,0.866,0.649,0.469,0.591,144,,98738,0,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4224.95434570313,312.685270330243
1104,095193,95193,0.0724911949829995,95193,0.072491,WYANDOTTE COUNTY LANDBANK,646  PARALLEL PKWY ,646,,PARALLEL,PKWY,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R43288,BRIGHTON HILL,10,500,1,1,35,3157.716,Residential highest and best use,220,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,27,272750,10101.85185,0.317,0,0,0.149,0.274,0.132125,1764,,95193,<Null>,<Null>,<Null>,<Null>,"Haynie silt loam, occasionally flooded",3157.71649169922,263.350654945887
1105,098957,98957,0.0687958268088508,98957,0.068796,WYANDOTTE COUNTY LANDBANK,1912 N 13TH ST ,1912,N,13TH,ST,,KANSAS CITY,KS,66104,Y,Y,<Null>,R44364,ASHLEY PLACE,10,500,4,1,25.75,2996.746,Residential highest and best use,210,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,75,1790140,23868.53333,0.317,0,0,0.735,0.579,0.2435,1197,,98957,2011,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",2996.74615478516,289.678615711911
1106,081599,81599,0.0690596830280211,81599,0.06906,WYANDOTTE COUNTY LANDBANK,418  WALKER AVE ,418,,WALKER,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R42806,WYANDOTTE CITY,10,500,4,1,175.74,3008.24,Residential highest and best use,210,0,LBHD,0,<Null>,1,<Null>,<Null>,44,3371890,76633.86364,0.317,0,0,0.95,0.941,0.315625,879,,81599,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3008.23974609375,382.522036909483
1107,906429,906429,0.111189147431112,906429,0.111189,WYANDOTTE COUNTY LANDBANK,1008  GARFIELD AVE ,1008,,GARFIELD,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R43890,<Null>,10,500,4,1,50,4843.399,Residential highest and best use,250,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,41,665210,16224.63415,0,0,0,0.368,0.424,0.099,1915,,906429,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4843.39929199219,291.016228476971
1108,140420,140420,0.0712338158648503,140420,0.071234,WYANDOTTE COUNTY LANDBANK,1952 N HALLOCK ST ,1952,N,HALLOCK,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R43205,GLENWOOD GROVE,10,500,1,1,25,3102.945,Residential highest and best use,220,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,50,223440,4468.8,0.317,0,0,0.103,0.049,0.09825,1922,,140420,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3102.94494628906,294.230020524801
1109,111214,111214,0.150949572815884,111214,0.15095,WYANDOTTE COUNTY LANDBANK,712  LAFAYETTE AVE ,712,,LAFAYETTE,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2072,ELIZABETH,10,500,1,1,54.5,6575.363,Residential highest and best use,270,0,<Null>,<Null>,<Null>,4,<Null>,1,78,1181180,15143.33333,0.866,0,0.866,0.557,0.397,0.55225,177,73,111214,2008,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",6575.36340332031,350.247571631933
1110,111406,111406,0.107816401405208,111406,0.107816,WYANDOTTE COUNTY LANDBANK,2121 N TREMONT ST ,2121,N,TREMONT,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2106,FLORENCE PLACE,10,500,1,1,40,4696.482,Residential highest and best use,250,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,61,811050,13295.90164,0.76,0,0,0.421,0.358,0.287375,998,,111406,2008,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",4696.48248291016,317.696245405309
1111,907005,907005,0.617191758450174,907005,0.617192,WYANDOTTE COUNTY LANDBANK,3124 N 12TH ST ,3124,N,12TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R3220,<Null>,10,500,1,1,75,26884.873,Residential highest and best use,470,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,2,740,370,0,0,0,0.001,0.002,0.000375,2379,,907005,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",26884.8729858398,857.758148541807
1112,106827,106827,0.359906382894424,106827,0.359906,WYANDOTTE COUNTY LANDBANK,3068  CISSNA ST ,3068,,CISSNA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6169,GRANT PLACE,10,500,1,1,50,15677.522,Residential highest and best use,360,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,31,244400,7883.870968,0,0,0,0.126,0.204,0.04125,2139,,106827,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",15677.5220336914,717.189426041455
1113,209547,209547,0.137898323499218,209547,0.137898,WYANDOTTE COUNTY LANDBANK,1318  FREEMAN AVE ,1318,,FREEMAN,AVE,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R44769,LONDON HEIGHTS 2ND SUB,10,500,4,1,50,6006.851,Residential highest and best use,260,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,47,921880,19614.46809,0.576,0,0,0.463,0.483,0.26225,1110,,209547,2005,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6006.85101318359,343.783370345104
1114,162046,162046,0.110798383713182,162046,0.110798,WYANDOTTE COUNTY LANDBANK,2240  LATHROP AVE ,2240,,LATHROP,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6931,BENTON PARK,10,500,1,1,37.5,4826.378,Residential highest and best use,250,0,<Null>,<Null>,<Null>,4,<Null>,<Null>,82,1233370,15041.09756,0.866,0,0,0.573,0.394,0.337375,793,,162046,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4826.37762451172,328.764710570193
1115,098795,98795,0.13510657794475,98795,0.135107,WYANDOTTE COUNTY LANDBANK,1715  WOOD AVE ,1715,,WOOD,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R44596,HOWELL HEIGHTS,10,500,4,1,50,5885.243,Residential highest and best use,260,0,<Null>,<Null>,<Null>,3,<Null>,1,74,1838490,24844.45946,0.76,0,0.866,0.748,0.593,0.574125,162,,98795,0,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",5885.24255371094,338.15003425765
1116,080300,80300,0.0773270948402716,80300,0.077327,WYANDOTTE COUNTY LANDBANK,930  OAKLAND AVE ,930,,OAKLAND,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R45419,WYANDOTTE CITY,10,500,4,1,25,3368.368,Residential highest and best use,220,0,LBHD,10,<Null>,1,<Null>,<Null>,35,167720,4792,0.317,0,0,0.059,0.06,0.094125,1935,,80300,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3368.36822509766,314.970064587599
1117,094558,94558,0.0719979807577247,94558,0.071998,WYANDOTTE COUNTY LANDBANK,125  QUINDARO BLVD ,125,,QUINDARO,BLVD,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2908,EDGERTON PLACE B7-19,10,500,1,1,25,3136.232,Residential highest and best use,220,0,<Null>,<Null>,<Null>,1,<Null>,1,67,548950,8193.283582,0.317,0,0.866,0.326,0.22,0.364,663,,94558,2007,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3136.23199462891,295.011368651642
1118,098910,98910,0.0712904079554196,98910,0.07129,WYANDOTTE COUNTY LANDBANK,1911 N 13TH ST ,1911,N,13TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R44339,ASHLEY PLACE,10,500,4,1,25,3105.41,Residential highest and best use,220,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,68,1167530,17169.55882,0.576,0,0,0.552,0.442,0.26825,1084,,98910,2010,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",3105.41021728516,290.295951991034
1119,209654,209654,0.0900165547934401,209654,0.090017,WYANDOTTE COUNTY LANDBANK,1707 N 13TH ST ,1707,N,13TH,ST,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R44617,LONDON HEIGHTS 2ND SUB,10,500,4,1,33.33,3921.121,Residential highest and best use,230,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,36,638300,17730.55556,0.317,0,0,0.359,0.447,0.18,1529,,209654,2006,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3921.12115478516,303.243951248838
1120,081128,81128,0.0763763404794125,81128,0.076376,WYANDOTTE COUNTY LANDBANK,910  NEW JERSEY AVE ,910,,NEW JERSEY,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R45212,WYANDOTTE CITY,10,500,4,1,25,3326.953,Residential highest and best use,220,0,LBHD,10,<Null>,1,<Null>,<Null>,57,478720,8398.596491,0.317,0,0,0.287,0.23,0.143875,1697,,81128,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3326.95343017578,316.014902941647
1121,116022,116022,0.0900911378649612,116022,0.090091,WYANDOTTE COUNTY LANDBANK,1744  WAVERLY AVE ,1744,,WAVERLY,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R8322,BARNES ADD B1-7,10,500,1,1,32,3924.37,Residential highest and best use,230,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,54,713370,13210.55556,0.76,0,0,0.387,0.356,0.282875,1015,,116022,<Null>,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",3924.36999511719,306.448214380116
